meetreeks_id,meetlocatie_id,bron_id,accreditatienummer,component,matrix,meetopstelling_id,meetduur,eenheid,begindatumtijd,einddatumtijd,waarde,opm_code
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T00:00:00+01:00,2025-08-01T01:00:00+01:00,16.63,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T01:00:00+01:00,2025-08-01T02:00:00+01:00,9.33,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T02:00:00+01:00,2025-08-01T03:00:00+01:00,10.86,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T03:00:00+01:00,2025-08-01T04:00:00+01:00,11.01,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T04:00:00+01:00,2025-08-01T05:00:00+01:00,9.12,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T05:00:00+01:00,2025-08-01T06:00:00+01:00,11.91,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T06:00:00+01:00,2025-08-01T07:00:00+01:00,9.25,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T07:00:00+01:00,2025-08-01T08:00:00+01:00,7.87,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T08:00:00+01:00,2025-08-01T09:00:00+01:00,7.58,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T09:00:00+01:00,2025-08-01T10:00:00+01:00,5.57,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T10:00:00+01:00,2025-08-01T11:00:00+01:00,4.59,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T11:00:00+01:00,2025-08-01T12:00:00+01:00,6.1,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T12:00:00+01:00,2025-08-01T13:00:00+01:00,3.86,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T13:00:00+01:00,2025-08-01T14:00:00+01:00,7.2,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T14:00:00+01:00,2025-08-01T15:00:00+01:00,4.04,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T15:00:00+01:00,2025-08-01T16:00:00+01:00,3.76,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T16:00:00+01:00,2025-08-01T17:00:00+01:00,4.92,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T17:00:00+01:00,2025-08-01T18:00:00+01:00,3.63,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T18:00:00+01:00,2025-08-01T19:00:00+01:00,2.49,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T19:00:00+01:00,2025-08-01T20:00:00+01:00,2.95,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T20:00:00+01:00,2025-08-01T21:00:00+01:00,3.78,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T21:00:00+01:00,2025-08-01T22:00:00+01:00,4.71,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T22:00:00+01:00,2025-08-01T23:00:00+01:00,9.56,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-01T23:00:00+01:00,2025-08-02T00:00:00+01:00,5.99,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T00:00:00+01:00,2025-08-02T01:00:00+01:00,8.27,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T01:00:00+01:00,2025-08-02T02:00:00+01:00,6.76,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T02:00:00+01:00,2025-08-02T03:00:00+01:00,5.46,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T03:00:00+01:00,2025-08-02T04:00:00+01:00,5.53,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T04:00:00+01:00,2025-08-02T05:00:00+01:00,5.84,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T05:00:00+01:00,2025-08-02T06:00:00+01:00,5.65,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T06:00:00+01:00,2025-08-02T07:00:00+01:00,5.79,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T07:00:00+01:00,2025-08-02T08:00:00+01:00,5.3,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T08:00:00+01:00,2025-08-02T09:00:00+01:00,6.79,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T09:00:00+01:00,2025-08-02T10:00:00+01:00,5.26,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T10:00:00+01:00,2025-08-02T11:00:00+01:00,5.28,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T11:00:00+01:00,2025-08-02T12:00:00+01:00,4.09,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T12:00:00+01:00,2025-08-02T13:00:00+01:00,4.4,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T13:00:00+01:00,2025-08-02T14:00:00+01:00,3.27,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T14:00:00+01:00,2025-08-02T15:00:00+01:00,1.78,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T15:00:00+01:00,2025-08-02T16:00:00+01:00,2.82,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T16:00:00+01:00,2025-08-02T17:00:00+01:00,2.54,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T17:00:00+01:00,2025-08-02T18:00:00+01:00,1.92,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T18:00:00+01:00,2025-08-02T19:00:00+01:00,2.29,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T19:00:00+01:00,2025-08-02T20:00:00+01:00,3.05,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T20:00:00+01:00,2025-08-02T21:00:00+01:00,4.13,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T21:00:00+01:00,2025-08-02T22:00:00+01:00,2.48,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T22:00:00+01:00,2025-08-02T23:00:00+01:00,2.0,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-02T23:00:00+01:00,2025-08-03T00:00:00+01:00,9.16,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-03T00:00:00+01:00,2025-08-03T01:00:00+01:00,9.06,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-03T01:00:00+01:00,2025-08-03T02:00:00+01:00,5.75,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-03T02:00:00+01:00,2025-08-03T03:00:00+01:00,5.7,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-03T03:00:00+01:00,2025-08-03T04:00:00+01:00,6.08,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-03T04:00:00+01:00,2025-08-03T05:00:00+01:00,5.83,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-03T05:00:00+01:00,2025-08-03T06:00:00+01:00,5.27,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-03T06:00:00+01:00,2025-08-03T07:00:00+01:00,6.11,
NL10107_NO2_lucht,NL10107,LML,L224,NO2,lucht,chemoluminesc_APIT200,uur,µg/m³,2025-08-03T07:00:00+01:00,2025-08-03T08:00:00+01:00,4.36,
